name,arm,distance,cue,measure,lens,layer,rank
Elias,direct,1,cue_b,tracer,jlens,16,2824
Elias,direct,1,cue_b,tracer,logit,16,6488
Elias,direct,1,cue_b,tracer,jlens,17,3325
Elias,direct,1,cue_b,tracer,logit,17,4140
Elias,direct,1,cue_b,tracer,jlens,18,1811
Elias,direct,1,cue_b,tracer,logit,18,3696
Elias,direct,1,cue_b,tracer,jlens,19,2751
Elias,direct,1,cue_b,tracer,logit,19,5003
Elias,direct,1,cue_b,tracer,jlens,20,2683
Elias,direct,1,cue_b,tracer,logit,20,5571
Elias,direct,1,cue_b,tracer,jlens,21,2388
Elias,direct,1,cue_b,tracer,logit,21,4525
Elias,direct,1,cue_b,tracer,jlens,22,4663
Elias,direct,1,cue_b,tracer,logit,22,7240
Elias,direct,1,cue_b,tracer,jlens,23,7821
Elias,direct,1,cue_b,tracer,logit,23,8358
Elias,direct,1,cue_b,tracer,jlens,24,8754
Elias,direct,1,cue_b,tracer,logit,24,9633
Elias,direct,1,cue_b,tracer,jlens,25,9024
Elias,direct,1,cue_b,tracer,logit,25,11305
Elias,direct,1,cue_b,tracer,jlens,26,13446
Elias,direct,1,cue_b,tracer,logit,26,12853
Elias,direct,1,cue_a,trait,jlens,13,17604
Elias,direct,1,cue_a,trait,logit,13,34263
Elias,direct,1,cue_a,trait,jlens,14,16520
Elias,direct,1,cue_a,trait,logit,14,28254
Elias,direct,1,cue_a,trait,jlens,15,14706
Elias,direct,1,cue_a,trait,logit,15,11759
Elias,direct,1,cue_a,trait,jlens,16,13834
Elias,direct,1,cue_a,trait,logit,16,10127
Elias,direct,1,cue_a,trait,jlens,17,8096
Elias,direct,1,cue_a,trait,logit,17,2801
Elias,direct,1,cue_a,trait,jlens,18,9995
Elias,direct,1,cue_a,trait,logit,18,1821
Elias,direct,1,cue_a,trait,jlens,19,13392
Elias,direct,1,cue_a,trait,logit,19,1276
Elias,direct,1,cue_a,trait,jlens,20,16695
Elias,direct,1,cue_a,trait,logit,20,1074
Elias,direct,1,cue_a,trait,jlens,21,18203
Elias,direct,1,cue_a,trait,logit,21,2402
Elias,direct,1,cue_a,trait,jlens,22,20125
Elias,direct,1,cue_a,trait,logit,22,3681
Elias,direct,1,cue_a,trait,jlens,23,20947
Elias,direct,1,cue_a,trait,logit,23,4205
Elias,direct,1,cue_a,trait,jlens,24,18389
Elias,direct,1,cue_a,trait,logit,24,3424
Elias,direct,1,cue_a,trait,jlens,25,20076
Elias,direct,1,cue_a,trait,logit,25,5683
Elias,direct,1,cue_a,trait,jlens,26,13871
Elias,direct,1,cue_a,trait,logit,26,4661
Elias,direct,1,cue_a,adj,jlens,13,37597
Elias,direct,1,cue_a,adj,logit,13,34263
Elias,direct,1,cue_a,adj,jlens,14,31533
Elias,direct,1,cue_a,adj,logit,14,28254
Elias,direct,1,cue_a,adj,jlens,15,33299
Elias,direct,1,cue_a,adj,logit,15,27314
Elias,direct,1,cue_a,adj,jlens,16,36074
Elias,direct,1,cue_a,adj,logit,16,10359
Elias,direct,1,cue_a,adj,jlens,17,23379
Elias,direct,1,cue_a,adj,logit,17,2801
Elias,direct,1,cue_a,adj,jlens,18,26976
Elias,direct,1,cue_a,adj,logit,18,1821
Elias,direct,1,cue_a,adj,jlens,19,26877
Elias,direct,1,cue_a,adj,logit,19,1276
Elias,direct,1,cue_a,adj,jlens,20,25559
Elias,direct,1,cue_a,adj,logit,20,1074
Elias,direct,1,cue_a,adj,jlens,21,32603
Elias,direct,1,cue_a,adj,logit,21,2402
Elias,direct,1,cue_a,adj,jlens,22,40725
Elias,direct,1,cue_a,adj,logit,22,3681
Elias,direct,1,cue_a,adj,jlens,23,36501
Elias,direct,1,cue_a,adj,logit,23,4205
Elias,direct,1,cue_a,adj,jlens,24,25385
Elias,direct,1,cue_a,adj,logit,24,3424
Elias,direct,1,cue_a,adj,jlens,25,21849
Elias,direct,1,cue_a,adj,logit,25,5683
Elias,direct,1,cue_a,adj,jlens,26,13871
Elias,direct,1,cue_a,adj,logit,26,4661
Elias,direct,1,cue_a,tracer,jlens,13,1147
Elias,direct,1,cue_a,tracer,logit,13,32334
Elias,direct,1,cue_a,tracer,jlens,14,1007
Elias,direct,1,cue_a,tracer,logit,14,37220
Elias,direct,1,cue_a,tracer,jlens,15,3894
Elias,direct,1,cue_a,tracer,logit,15,18447
Elias,direct,1,cue_a,tracer,jlens,16,5067
Elias,direct,1,cue_a,tracer,logit,16,5360
Elias,direct,1,cue_a,tracer,jlens,17,5430
Elias,direct,1,cue_a,tracer,logit,17,4898
Elias,direct,1,cue_a,tracer,jlens,18,3775
Elias,direct,1,cue_a,tracer,logit,18,6415
Elias,direct,1,cue_a,tracer,jlens,19,3792
Elias,direct,1,cue_a,tracer,logit,19,4746
Elias,direct,1,cue_a,tracer,jlens,20,4459
Elias,direct,1,cue_a,tracer,logit,20,3609
Elias,direct,1,cue_a,tracer,jlens,21,9927
Elias,direct,1,cue_a,tracer,logit,21,4030
Elias,direct,1,cue_a,tracer,jlens,22,14677
Elias,direct,1,cue_a,tracer,logit,22,8482
Elias,direct,1,cue_a,tracer,jlens,23,19882
Elias,direct,1,cue_a,tracer,logit,23,15135
Elias,direct,1,cue_a,tracer,jlens,24,18241
Elias,direct,1,cue_a,tracer,logit,24,13483
Elias,direct,1,cue_a,tracer,jlens,25,22116
Elias,direct,1,cue_a,tracer,logit,25,22410
Elias,direct,1,cue_a,tracer,jlens,26,23373
Elias,direct,1,cue_a,tracer,logit,26,19511
Elias,direct,1,passive,trait,jlens,13,33837
Elias,direct,1,passive,trait,logit,13,18304
Elias,direct,1,passive,trait,jlens,14,42282
Elias,direct,1,passive,trait,logit,14,12078
Elias,direct,1,passive,trait,jlens,15,21584
Elias,direct,1,passive,trait,logit,15,6234
Elias,direct,1,passive,trait,jlens,16,22736
Elias,direct,1,passive,trait,logit,16,12513
Elias,direct,1,passive,trait,jlens,17,10163
Elias,direct,1,passive,trait,logit,17,7810
Elias,direct,1,passive,trait,jlens,18,15796
Elias,direct,1,passive,trait,logit,18,9574
Elias,direct,1,passive,trait,jlens,19,14366
Elias,direct,1,passive,trait,logit,19,9189
Elias,direct,1,passive,trait,jlens,20,17076
Elias,direct,1,passive,trait,logit,20,8098
Elias,direct,1,passive,trait,jlens,21,20629
Elias,direct,1,passive,trait,logit,21,12183
Elias,direct,1,passive,trait,jlens,22,23592
Elias,direct,1,passive,trait,logit,22,15523
Elias,direct,1,passive,trait,jlens,23,26221
Elias,direct,1,passive,trait,logit,23,14355
Elias,direct,1,passive,trait,jlens,24,23601
Elias,direct,1,passive,trait,logit,24,12509
Elias,direct,1,passive,trait,jlens,25,30955
Elias,direct,1,passive,trait,logit,25,12995
Elias,direct,1,passive,trait,jlens,26,23654
Elias,direct,1,passive,trait,logit,26,9868
Elias,direct,1,passive,adj,jlens,13,40870
Elias,direct,1,passive,adj,logit,13,225071
Elias,direct,1,passive,adj,jlens,14,89711
Elias,direct,1,passive,adj,logit,14,176894
Elias,direct,1,passive,adj,jlens,15,29570
Elias,direct,1,passive,adj,logit,15,100404
Elias,direct,1,passive,adj,jlens,16,34140
Elias,direct,1,passive,adj,logit,16,36724
Elias,direct,1,passive,adj,jlens,17,20419
Elias,direct,1,passive,adj,logit,17,13869
Elias,direct,1,passive,adj,jlens,18,33588
Elias,direct,1,passive,adj,logit,18,11334
Elias,direct,1,passive,adj,jlens,19,30963
Elias,direct,1,passive,adj,logit,19,11337
Elias,direct,1,passive,adj,jlens,20,31817
Elias,direct,1,passive,adj,logit,20,8098
Elias,direct,1,passive,adj,jlens,21,50331
Elias,direct,1,passive,adj,logit,21,16912
Elias,direct,1,passive,adj,jlens,22,55033
Elias,direct,1,passive,adj,logit,22,18907
Elias,direct,1,passive,adj,jlens,23,53026
Elias,direct,1,passive,adj,logit,23,16312
Elias,direct,1,passive,adj,jlens,24,32363
Elias,direct,1,passive,adj,logit,24,12509
Elias,direct,1,passive,adj,jlens,25,32703
Elias,direct,1,passive,adj,logit,25,13225
Elias,direct,1,passive,adj,jlens,26,26773
Elias,direct,1,passive,adj,logit,26,11140
Elias,direct,1,passive,tracer,jlens,13,63979
Elias,direct,1,passive,tracer,logit,13,192891
Elias,direct,1,passive,tracer,jlens,14,91906
Elias,direct,1,passive,tracer,logit,14,157285
Elias,direct,1,passive,tracer,jlens,15,68516
Elias,direct,1,passive,tracer,logit,15,64758
Elias,direct,1,passive,tracer,jlens,16,48633
Elias,direct,1,passive,tracer,logit,16,15742
Elias,direct,1,passive,tracer,jlens,17,21607
Elias,direct,1,passive,tracer,logit,17,16756
Elias,direct,1,passive,tracer,jlens,18,21005
Elias,direct,1,passive,tracer,logit,18,16633
Elias,direct,1,passive,tracer,jlens,19,20530
Elias,direct,1,passive,tracer,logit,19,18489
Elias,direct,1,passive,tracer,jlens,20,23671
Elias,direct,1,passive,tracer,logit,20,17748
Elias,direct,1,passive,tracer,jlens,21,25086
Elias,direct,1,passive,tracer,logit,21,21289
Elias,direct,1,passive,tracer,jlens,22,33310
Elias,direct,1,passive,tracer,logit,22,23186
Elias,direct,1,passive,tracer,jlens,23,44633
Elias,direct,1,passive,tracer,logit,23,28070
Elias,direct,1,passive,tracer,jlens,24,34786
Elias,direct,1,passive,tracer,logit,24,29030
Elias,direct,1,passive,tracer,jlens,25,37376
Elias,direct,1,passive,tracer,logit,25,34040
Elias,direct,1,passive,tracer,jlens,26,36649
Elias,direct,1,passive,tracer,logit,26,26763
Elias,direct,2,cue_b,trait,jlens,13,979
Elias,direct,2,cue_b,trait,logit,13,4310
Elias,direct,2,cue_b,trait,jlens,14,5481
Elias,direct,2,cue_b,trait,logit,14,2858
Elias,direct,2,cue_b,trait,jlens,15,1046
