name,arm,distance,cue,measure,lens,layer,rank
Elias,direct,15,passive,tracer,jlens,19,23072
Elias,direct,15,passive,tracer,logit,19,16586
Elias,direct,15,passive,tracer,jlens,20,22738
Elias,direct,15,passive,tracer,logit,20,13471
Elias,direct,15,passive,tracer,jlens,21,20280
Elias,direct,15,passive,tracer,logit,21,12069
Elias,direct,15,passive,tracer,jlens,22,23834
Elias,direct,15,passive,tracer,logit,22,9558
Elias,direct,15,passive,tracer,jlens,23,24471
Elias,direct,15,passive,tracer,logit,23,11495
Elias,direct,15,passive,tracer,jlens,24,14599
Elias,direct,15,passive,tracer,logit,24,9417
Elias,direct,15,passive,tracer,jlens,25,14465
Elias,direct,15,passive,tracer,logit,25,15915
Elias,direct,15,passive,tracer,jlens,26,12877
Elias,direct,15,passive,tracer,logit,26,10150
Elias,direct,20,cue_b,trait,jlens,13,467
Elias,direct,20,cue_b,trait,logit,13,10165
Elias,direct,20,cue_b,trait,jlens,14,1054
Elias,direct,20,cue_b,trait,logit,14,4846
Elias,direct,20,cue_b,trait,jlens,15,701
Elias,direct,20,cue_b,trait,logit,15,2029
Elias,direct,20,cue_b,trait,jlens,16,939
Elias,direct,20,cue_b,trait,logit,16,965
Elias,direct,20,cue_b,trait,jlens,17,280
Elias,direct,20,cue_b,trait,logit,17,194
Elias,direct,20,cue_b,trait,jlens,18,419
Elias,direct,20,cue_b,trait,logit,18,125
Elias,direct,20,cue_b,trait,jlens,19,194
Elias,direct,20,cue_b,trait,logit,19,87
Elias,direct,20,cue_b,trait,jlens,20,177
Elias,direct,20,cue_b,trait,logit,20,36
Elias,direct,20,cue_b,trait,jlens,21,122
Elias,direct,20,cue_b,trait,logit,21,56
Elias,direct,20,cue_b,trait,jlens,22,201
Elias,direct,20,cue_b,trait,logit,22,101
Elias,direct,20,cue_b,trait,jlens,23,8
Elias,direct,20,cue_b,trait,logit,23,8
Elias,direct,20,cue_b,trait,jlens,24,6
Elias,direct,20,cue_b,trait,logit,24,3
Elias,direct,20,cue_b,trait,jlens,25,6
Elias,direct,20,cue_b,trait,logit,25,4
Elias,direct,20,cue_b,trait,jlens,26,2
Elias,direct,20,cue_b,trait,logit,26,1
Elias,direct,20,cue_b,adj,jlens,13,3759
Elias,direct,20,cue_b,adj,logit,13,20519
Elias,direct,20,cue_b,adj,jlens,14,5248
Elias,direct,20,cue_b,adj,logit,14,4846
Elias,direct,20,cue_b,adj,jlens,15,4863
Elias,direct,20,cue_b,adj,logit,15,6953
Elias,direct,20,cue_b,adj,jlens,16,5919
Elias,direct,20,cue_b,adj,logit,16,1286
Elias,direct,20,cue_b,adj,jlens,17,705
Elias,direct,20,cue_b,adj,logit,17,194
Elias,direct,20,cue_b,adj,jlens,18,577
Elias,direct,20,cue_b,adj,logit,18,125
Elias,direct,20,cue_b,adj,jlens,19,194
Elias,direct,20,cue_b,adj,logit,19,87
Elias,direct,20,cue_b,adj,jlens,20,177
Elias,direct,20,cue_b,adj,logit,20,36
Elias,direct,20,cue_b,adj,jlens,21,122
Elias,direct,20,cue_b,adj,logit,21,56
Elias,direct,20,cue_b,adj,jlens,22,201
Elias,direct,20,cue_b,adj,logit,22,101
Elias,direct,20,cue_b,adj,jlens,23,8
Elias,direct,20,cue_b,adj,logit,23,8
Elias,direct,20,cue_b,adj,jlens,24,6
Elias,direct,20,cue_b,adj,logit,24,3
Elias,direct,20,cue_b,adj,jlens,25,6
Elias,direct,20,cue_b,adj,logit,25,4
Elias,direct,20,cue_b,adj,jlens,26,2
Elias,direct,20,cue_b,adj,logit,26,1
Elias,direct,20,cue_b,tracer,jlens,13,945
Elias,direct,20,cue_b,tracer,logit,13,5424
Elias,direct,20,cue_b,tracer,jlens,14,1344
Elias,direct,20,cue_b,tracer,logit,14,2329
Elias,direct,20,cue_b,tracer,jlens,15,1832
Elias,direct,20,cue_b,tracer,logit,15,1269
Elias,direct,20,cue_b,tracer,jlens,16,2820
Elias,direct,20,cue_b,tracer,logit,16,7616
Elias,direct,20,cue_b,tracer,jlens,17,2613
Elias,direct,20,cue_b,tracer,logit,17,3605
Elias,direct,20,cue_b,tracer,jlens,18,1093
Elias,direct,20,cue_b,tracer,logit,18,3752
Elias,direct,20,cue_b,tracer,jlens,19,1666
Elias,direct,20,cue_b,tracer,logit,19,4141
Elias,direct,20,cue_b,tracer,jlens,20,1676
Elias,direct,20,cue_b,tracer,logit,20,5191
Elias,direct,20,cue_b,tracer,jlens,21,1869
Elias,direct,20,cue_b,tracer,logit,21,3504
Elias,direct,20,cue_b,tracer,jlens,22,3554
Elias,direct,20,cue_b,tracer,logit,22,5768
Elias,direct,20,cue_b,tracer,jlens,23,9747
Elias,direct,20,cue_b,tracer,logit,23,8819
Elias,direct,20,cue_b,tracer,jlens,24,9632
Elias,direct,20,cue_b,tracer,logit,24,9292
Elias,direct,20,cue_b,tracer,jlens,25,7477
Elias,direct,20,cue_b,tracer,logit,25,8460
Elias,direct,20,cue_b,tracer,jlens,26,9168
Elias,direct,20,cue_b,tracer,logit,26,9332
Elias,direct,20,cue_a,trait,jlens,13,17912
Elias,direct,20,cue_a,trait,logit,13,42220
Elias,direct,20,cue_a,trait,jlens,14,10030
Elias,direct,20,cue_a,trait,logit,14,31455
Elias,direct,20,cue_a,trait,jlens,15,19564
Elias,direct,20,cue_a,trait,logit,15,28144
Elias,direct,20,cue_a,trait,jlens,16,22758
Elias,direct,20,cue_a,trait,logit,16,5913
Elias,direct,20,cue_a,trait,jlens,17,9411
Elias,direct,20,cue_a,trait,logit,17,2150
Elias,direct,20,cue_a,trait,jlens,18,12937
Elias,direct,20,cue_a,trait,logit,18,898
Elias,direct,20,cue_a,trait,jlens,19,11284
Elias,direct,20,cue_a,trait,logit,19,520
Elias,direct,20,cue_a,trait,jlens,20,15431
Elias,direct,20,cue_a,trait,logit,20,678
Elias,direct,20,cue_a,trait,jlens,21,19421
Elias,direct,20,cue_a,trait,logit,21,1794
Elias,direct,20,cue_a,trait,jlens,22,20388
Elias,direct,20,cue_a,trait,logit,22,2318
Elias,direct,20,cue_a,trait,jlens,23,18283
Elias,direct,20,cue_a,trait,logit,23,2567
Elias,direct,20,cue_a,trait,jlens,24,15712
Elias,direct,20,cue_a,trait,logit,24,2023
Elias,direct,20,cue_a,trait,jlens,25,15318
Elias,direct,20,cue_a,trait,logit,25,3709
Elias,direct,20,cue_a,trait,jlens,26,9916
Elias,direct,20,cue_a,trait,logit,26,3041
Elias,direct,20,cue_a,adj,jlens,13,40994
Elias,direct,20,cue_a,adj,logit,13,42220
Elias,direct,20,cue_a,adj,jlens,14,29174
Elias,direct,20,cue_a,adj,logit,14,31455
Elias,direct,20,cue_a,adj,jlens,15,55783
Elias,direct,20,cue_a,adj,logit,15,28144
Elias,direct,20,cue_a,adj,jlens,16,79601
Elias,direct,20,cue_a,adj,logit,16,5913
Elias,direct,20,cue_a,adj,jlens,17,25555
Elias,direct,20,cue_a,adj,logit,17,2150
Elias,direct,20,cue_a,adj,jlens,18,28903
Elias,direct,20,cue_a,adj,logit,18,898
Elias,direct,20,cue_a,adj,jlens,19,21050
Elias,direct,20,cue_a,adj,logit,19,520
Elias,direct,20,cue_a,adj,jlens,20,22148
Elias,direct,20,cue_a,adj,logit,20,678
Elias,direct,20,cue_a,adj,jlens,21,32441
