name,arm,distance,condition,measure,lens,layer,rank
Elias,inferred,7,baseline,trait,jlens,24,12
Elias,inferred,7,baseline,trait,logit,24,6
Elias,inferred,7,baseline,trait,jlens,25,15
Elias,inferred,7,baseline,trait,logit,25,8
Elias,inferred,7,baseline,trait,jlens,26,10
Elias,inferred,7,baseline,trait,logit,26,7
Elias,inferred,7,scene,trait,jlens,13,5175
Elias,inferred,7,scene,trait,logit,13,11851
Elias,inferred,7,scene,trait,jlens,14,34269
Elias,inferred,7,scene,trait,logit,14,14145
Elias,inferred,7,scene,trait,jlens,15,1253
Elias,inferred,7,scene,trait,logit,15,4157
Elias,inferred,7,scene,trait,jlens,16,2747
Elias,inferred,7,scene,trait,logit,16,834
Elias,inferred,7,scene,trait,jlens,17,411
Elias,inferred,7,scene,trait,logit,17,275
Elias,inferred,7,scene,trait,jlens,18,376
Elias,inferred,7,scene,trait,logit,18,126
Elias,inferred,7,scene,trait,jlens,19,195
Elias,inferred,7,scene,trait,logit,19,190
Elias,inferred,7,scene,trait,jlens,20,249
Elias,inferred,7,scene,trait,logit,20,113
Elias,inferred,7,scene,trait,jlens,21,479
Elias,inferred,7,scene,trait,logit,21,199
Elias,inferred,7,scene,trait,jlens,22,639
Elias,inferred,7,scene,trait,logit,22,226
Elias,inferred,7,scene,trait,jlens,23,236
Elias,inferred,7,scene,trait,logit,23,204
Elias,inferred,7,scene,trait,jlens,24,251
Elias,inferred,7,scene,trait,logit,24,161
Elias,inferred,7,scene,trait,jlens,25,406
Elias,inferred,7,scene,trait,logit,25,191
Elias,inferred,7,scene,trait,jlens,26,667
Elias,inferred,7,scene,trait,logit,26,275
Elias,inferred,7,control,trait,jlens,13,4000
Elias,inferred,7,control,trait,logit,13,20404
Elias,inferred,7,control,trait,jlens,14,18029
Elias,inferred,7,control,trait,logit,14,17784
Elias,inferred,7,control,trait,jlens,15,1286
Elias,inferred,7,control,trait,logit,15,3839
Elias,inferred,7,control,trait,jlens,16,2598
